,template_id,1,2,3,4,5,6,7,8
0,0,36,4,21,84,42,,,
1,1,87,10,37,104,32,,,
2,2,104,90,62,30,59,230.0,176.0,284.0
3,3,104,90,62,30,59,,,
4,4,36,0,21,84,31,170.0,171.0,
5,5,9,69,10,75,46,230.0,176.0,284.0
6,6,104,18,62,56,65,,,
7,7,104,90,62,30,59,,,
8,8,57,10,45,61,82,,,
9,9,69,10,5,39,61,145.0,154.0,251.0
10,10,8,9,61,39,57,184.0,408.0,575.0
11,11,26,104,18,62,56,,,
12,12,13,31,94,93,4,,,
13,13,12,31,94,93,4,,,
14,14,26,94,48,35,50,,,
15,15,104,96,62,59,65,332.0,631.0,390.0
16,16,89,86,85,74,103,,,
17,17,89,86,57,47,80,151.0,142.0,145.0
18,18,104,96,62,30,59,,,
19,19,60,52,103,29,28,323.0,644.0,363.0
20,20,104,96,62,30,59,494.0,479.0,287.0
21,21,4,0,36,68,48,156.0,113.0,519.0
22,22,23,34,33,26,104,494.0,,
23,23,22,26,70,104,77,506.0,507.0,496.0
24,24,93,74,70,40,90,151.0,142.0,145.0
25,25,48,68,36,87,21,,,
26,26,14,94,23,11,93,162.0,119.0,121.0
27,27,64,76,33,1,72,549.0,490.0,493.0
28,28,69,29,8,51,77,235.0,110.0,171.0
29,29,28,88,10,67,103,286.0,284.0,176.0
30,30,104,96,62,59,65,390.0,389.0,391.0
31,31,94,13,12,93,33,389.0,390.0,391.0
32,32,96,62,30,59,65,,,
33,33,34,31,104,78,77,573.0,330.0,182.0
34,34,33,22,31,68,62,489.0,,
35,35,42,76,14,95,36,,,
36,36,0,4,84,21,43,551.0,,
37,37,53,91,45,60,88,,,
38,38,76,104,18,62,56,223.0,222.0,499.0
39,39,9,10,61,85,88,494.0,229.0,283.0
40,40,104,90,62,30,59,494.0,376.0,167.0
41,41,66,33,101,104,90,223.0,222.0,221.0
42,42,35,0,36,32,44,167.0,387.0,
43,43,36,63,4,104,56,,,
44,44,104,96,62,30,59,,,
45,45,57,47,8,17,37,391.0,390.0,389.0
46,46,88,69,5,91,29,,,
47,47,45,17,86,89,57,260.0,486.0,482.0
48,48,68,14,25,36,87,,,
49,49,104,90,62,30,59,,,
50,50,26,14,94,79,64,258.0,,
51,51,104,90,62,30,59,173.0,287.0,227.0
52,52,60,19,91,37,45,549.0,490.0,493.0
53,53,37,5,9,97,1,258.0,,
54,54,104,62,40,44,20,549.0,490.0,553.0
55,55,64,104,18,62,65,258.0,,
56,56,104,96,62,30,59,626.0,259.0,371.0
57,57,8,45,17,10,86,258.0,,
58,58,73,66,74,87,28,,,
59,59,104,96,62,30,65,573.0,330.0,182.0
60,60,52,19,37,45,88,258.0,,
61,61,10,9,88,8,39,,,
62,62,104,96,30,59,65,258.0,,
63,63,64,43,3,2,44,500.0,498.0,558.0
64,64,63,27,1,76,50,145.0,154.0,251.0
65,65,104,96,62,30,59,,,
66,66,41,58,87,73,71,,,
67,67,103,29,104,40,90,162.0,119.0,113.0
68,68,87,48,79,25,21,,,
69,69,9,5,75,28,46,286.0,284.0,176.0
70,70,74,104,15,44,32,426.0,396.0,198.0
71,71,10,8,45,57,37,426.0,460.0,396.0
72,72,104,65,40,44,49,,,
73,73,58,1,66,104,20,549.0,490.0,553.0
74,74,16,70,85,89,86,,,
75,75,69,10,5,9,1,,,
76,76,100,35,104,32,40,,,
77,77,104,96,62,30,59,,,
78,78,96,62,30,59,65,,,
79,79,68,35,21,36,50,456.0,260.0,349.0
80,80,17,1,77,20,90,,,
81,81,95,68,79,34,87,,,
82,82,8,17,28,10,58,,,
83,83,17,1,20,90,32,,,
84,84,36,4,0,92,17,,,
85,85,16,86,89,8,10,,,
86,86,89,16,17,57,85,456.0,486.0,349.0
87,87,68,1,48,66,100,393.0,198.0,206.0
88,88,61,45,37,29,91,,,
89,89,86,16,17,57,85,467.0,196.0,205.0
90,90,104,96,62,30,59,,,
91,91,37,52,45,88,46,427.0,187.0,566.0
92,92,84,17,25,47,45,,,
93,93,31,26,13,24,12,234.0,235.0,110.0
94,94,31,26,14,13,12,171.0,234.0,235.0
95,95,81,35,72,34,43,469.0,405.0,192.0
96,96,104,62,30,59,65,,,
97,97,104,51,49,56,44,,,
98,98,37,1,85,44,40,185.0,217.0,576.0
99,99,103,16,89,86,40,217.0,576.0,185.0
100,100,104,30,40,44,49,,,
101,101,104,15,44,32,30,,,
102,102,104,78,30,32,40,286.0,284.0,176.0
103,103,99,67,16,29,89,289.0,,
104,104,96,62,30,59,65,500.0,498.0,558.0
