name,type_components
Social invitation card,"['AVATAR', 'BUTTON', 'IMAGE', 'BUTTON', 'AVATAR', 'AVATAR', 'TEXT', 'TEXT', 'TEXT']"
Action confirmation 4,"['TEXT', 'ICON', 'TEXT', 'IMAGE', 'BUTTON', 'BUTTON']"
Breadcrumb,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'ICON', 'ICON', 'ICON']"
Settings,"['TEXT', 'TEXT', 'BUTTON', 'TEXT', 'BUTTON', 'BUTTON', 'CHECKBOX', 'DIVIDER', 'BUTTON', 'DIVIDER', 'DIVIDER', 'DIVIDER', 'DIVIDER', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXTBOX']"
Contact card,"['TEXT', 'IMAGE', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'ICON', 'BUTTON', 'BUTTON', 'BUTTON']"
Vertical media card,"['TAG_ITEM', 'TAG_ITEM']"
Dashboard card,"['TEXT', 'BUTTON', 'TEXT', 'TEXT', 'TEXT', 'ICON']"
Image gallery 1,"['IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'AVATAR', 'TEXT', 'IMAGE', 'AVATAR', 'TEXT']"
Dashboard card with chart,"['COLUMN_BAR_CHART', 'ICON', 'TEXT', 'TEXT', 'TEXT']"
Sign in 2,"['TEXTBOX', 'TEXTBOX', 'BUTTON', 'TEXT', 'TEXT', 'CHECKBOX', 'TEXT', 'DIVIDER', 'TEXT', 'DIVIDER', 'BUTTON', 'BUTTON', 'BUTTON']"
Shipping information,"['TEXTBOX', 'TEXTBOX', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXTAREA', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXT', 'CHECKBOX', 'TEXT', 'TEXT', 'TEXT', 'TEXT']"
Image gallery 2,"['IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE', 'IMAGE']"
Chips,"['TAG_ITEM', 'TAG_ITEM', 'TAG_ITEM']"
Scroll bar,['RECTANGLE']
Pagination 3,"['TEXT', 'BUTTON', 'BUTTON']"
Project sharing,"['AVATAR', 'TEXT', 'ICON', 'ICON', 'TEXT', 'TEXT', 'TEXT', 'TEXTBOX', 'TEXTBOX', 'ICON', 'TEXT', 'TEXT', 'TEXTBOX', 'BUTTON', 'DIVIDER', 'BUTTON', 'BUTTON']"
Simple dropdown,"['SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM']"
Horizontal media card,"['TEXT', 'ICON', 'IMAGE', 'TEXT', 'TEXT', 'RATING', 'TEXT']"
Link sharing,"['TEXT', 'TEXTBOX', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'ICON', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']"
Search box and button,"['TEXTBOX', 'BUTTON']"
Welcome modal 1,"['IMAGE', 'ICON']"
Floating banner,"['ICON', 'TEXT', 'BUTTON', 'BUTTON']"
Sticky banner,"['ICON', 'TEXT', 'ICON']"
Message card,"['AVATAR', 'TEXT', 'TEXT', 'TEXT']"
Toast message 2,['ICON']
Action confirmation 2,"['TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT']"
Generic form,"['TEXT', 'TEXT', 'TEXTBOX', 'TEXT', 'TEXTBOX', 'TEXTAREA', 'CHECKBOX', 'BUTTON', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX']"
Welcome modal 2,"['TEXT', 'TEXT', 'BUTTON', 'ICON', 'IMAGE']"
Loading spinner,"['ICON', 'TEXT']"
Action confirmation 1,"['ICON', 'TEXT', 'BUTTON', 'BUTTON', 'TEXT']"
Sign up 2,"['TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXTBOX', 'TEXT', 'BUTTON', 'TEXT', 'CHECKBOX', 'TEXT', 'DIVIDER', 'DIVIDER']"
Top bar 2,"['AVATAR', 'ICON', 'TEXTBOX']"
Loading bar,"['SLIDER', 'TEXT']"
Progress bar,"['SLIDER', 'TEXT']"
Multiple actions confirmation,"['TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON']"
Listbox,['CHECKBOX']
Number input 1,"['TEXT', 'BUTTON', 'BUTTON']"
Notification card,"['AVATAR', 'TEXT', 'TEXT']"
Button group,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
Inline message 2,"['ICON', 'TEXT']"
Number input 2,"['TEXT', 'ICON', 'ICON']"
Social card,"['TEXT', 'TEXT', 'TEXT', 'BUTTON', 'IMAGE']"
Feature guideline,"['ICON', 'ICON', 'TEXT', 'BUTTON', 'BUTTON', 'IMAGE', 'TEXT']"
Inline message 1,"['TEXT', 'ICON']"
Segment,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
Action confirmation 1,"['TEXT', 'TEXT', 'BUTTON', 'BUTTON']"
Calendar,"['TEXT', 'ICON', 'ICON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
Edit profile,"['TEXT', 'TEXTBOX', 'TEXT', 'IMAGE', 'TEXTAREA', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'BUTTON', 'BUTTON', 'TEXTBOX']"
Tabs with badges,"['HEADER_MENU_ITEM', 'HEADER_MENU_ITEM', 'HEADER_MENU_ITEM']"
Message card,"['AVATAR', 'TEXT', 'TEXT', 'TEXT']"
Create new item,"['TEXT', 'ICON', 'TEXTBOX', 'TEXTAREA', 'BUTTON', 'BUTTON']"
Secondary header,"['ICON', 'TEXTBOX', 'AVATAR', 'ICON', 'BUTTON']"
Sign up 1,"['BUTTON', 'TEXTBOX', 'TEXT', 'DIVIDER', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'TEXT', 'TEXTBOX', 'BUTTON', 'DIVIDER', 'BUTTON', 'CHECKBOX', 'TEXT', 'TEXT', 'TEXT']"
Link sharing,"['BUTTON', 'BUTTON', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'DIVIDER', 'BUTTON', 'TEXT', 'BUTTON', 'BUTTON']"
Media popup 2,"['TEXT', 'TEXT', 'BUTTON', 'BUTTON', 'DIVIDER', 'IMAGE', 'DIVIDER']"
Navigation drawer 2,"['SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM', 'SIDEBAR_MENU_ITEM']"
Map in dark mode,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
Map in light mode,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
Sign in 1,"['BUTTON', 'BUTTON', 'BUTTON', 'TEXTBOX', 'TEXTBOX', 'BUTTON', 'TEXT', 'DIVIDER', 'DIVIDER', 'TEXT', 'TEXT', 'CHECKBOX', 'TEXT', 'TEXT']"
Tabs in pills,"['BUTTON', 'BUTTON', 'BUTTON']"
Page heading 2,"['IMAGE', 'AVATAR', 'TEXT', 'TEXT', 'BUTTON']"
Pagination 1,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
Pagination 2,"['BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON', 'BUTTON']"
Floating banner,"['ICON', 'TEXT', 'ICON']"
Inline message 1,"['ICON', 'TEXT']"
Header with search box,"['ICON', 'AVATAR', 'IMAGE', 'TEXTBOX', 'BUTTON', 'ICON']"
Snackbar,"['TEXT', 'TEXT']"
Job posting card,"['TEXT', 'TEXT', 'BUTTON', 'IMAGE', 'TEXT']"
Social invitation card,"['AVATAR', 'IMAGE', 'AVATAR', 'AVATAR', 'TEXT', 'TEXT', 'TEXT', 'BUTTON', 'BUTTON']"
Vertical media card,"['IMAGE', 'TEXT', 'TEXT', 'RATING', 'TEXT', 'TEXT']"
Toast message,"['ICON', 'ICON', 'TEXT']"
iOS keyboard,['IMAGE']
Tabs in pills,"['BUTTON', 'BUTTON', 'BUTTON']"
Top bar 1,"['AVATAR', 'ICON', 'ICON', 'ICON', 'TEXT']"
Toast message 1,"['ICON', 'ICON', 'TEXT', 'TEXT']"
Android keyboard,['IMAGE']
