similarity,PatternId
0.9276254095564943,4848
0.9124959098356576,2288575
0.7605774090948055,4847
0.7474043412996277,4817
0.7451700632910239,2288450
0.7375462334926298,4779
0.722669423709813,319415
0.7114027844285836,2288641
0.701895415932546,4853
0.678857957928902,4851
0.6381050055587313,2288531
0.6346294896056028,2098602
0.6327160499933181,319588
0.5816528533585543,2139495
0.5795699577033507,319640
0.5774698681609167,4850
0.5749570372717439,4835
0.5576301819775523,2288629
0.5493587847059035,4788
0.5377588330836769,2098611
0.5281382765669355,4802
0.5234246502741717,4849
0.5233746561183438,2286525
0.5205281700932909,474095
0.5137146245431642,2098629
0.5059920104787371,474089
0.4891784228708505,2098714
0.4888538448450057,2288551
0.4874275302623667,4824
0.4696335641231269,319395
0.4684622901432238,473525
0.45998204036708007,2139479
0.4586842905991129,2098818
0.4537186829349506,2098810
0.44889801006454694,2098779
0.44413158024992067,319570
0.44012688765377805,473604
0.4316665698732222,319449
0.4258184135481637,2728
0.42066763493650905,2724
0.4198056576737477,473609
0.4193507518822737,2725
0.4171982875563776,2288653
0.40976834689886127,2098731
0.407812905477554,319537
0.40206882885539863,2288601
0.401702412784704,2098594
0.40000307530576373,2098585
0.39774547308648867,2722
0.3960110074607288,2139478
0.3932703917338382,319595
0.39225817544082087,2139535
0.38970634703251955,2729
0.38634767716181223,2288387
0.37702267668891,319546
0.36921752586272255,319373
0.36797190750318504,473640
0.3664076905672516,48667
0.3656938704005025,2098704
0.3564348784345399,473633
0.3456605679346384,473736
0.30483961307212826,2288684
0.3027642153742882,473664
0.30244366119812727,2139511
0.3017141455934986,473776
0.29986410785682033,2098642
0.27756675690310223,2098801
0.27643898010754037,319468
0.27249776040612694,319501
0.26670939288789436,473678
0.2625704292470598,473671
0.2500057688791291,473614
0.24662341531301524,2723
0.24662273951997052,473722
0.24336925035325943,473825
0.2390278613003664,473539
0.22101800695601345,473870
0.2206187646357615,2727
0.20676436896348369,473960
0.20633619050147634,2139480
0.17970777072917207,473596
0.16009907253790676,2098636
0.1509205061601739,473769
0.0,2193809
0.0,474046
0.0,2726
0.0,2139477
0.0,473757
0.0,2288403
0.0,473744
0.0,2288631
0.0,61331
0.0,2098766
0.0,61330
0.0,2098693
0.0,2288423
0.0,2098709
0.0,473796
0.0,2098806
0.0,473625
0.0,2139488
0.0,473532
0.0,2288669
0.0,474069
0.0,2139458
0.0,48666
0.0,473572
0.0,473646
0.0,473655
0.0,2268033
